Student ID,NPS Date,NPS State,NPS Answer,Feedback Text,Feedback Category,Feedback Week End
108759205,8/4/2023,NM,1,I suggest that you offer the product in green,suggestion,3/26/2023
108759205,1/23/2023,AZ,7,Nothing to suggest,positive,4/16/2023
108759205,4/10/2023,CO,5,The product is excellent,positive,2/5/2023
108759205,1/15/2023,AZ,10,The product is terrible,neutral,2/5/2023
108759205,6/14/2023,WY,2,Nothing to suggest,negative,4/16/2023
108759205,2/25/2023,CO,8,I suggest that you offer the product in green,negative,3/26/2023
108759205,8/11/2023,AZ,8,I suggest that you offer the product in green,neutral,1/1/2023
108759205,8/4/2023,CO,0,Nothing to suggest,suggestion,1/1/2023
108759205,2/16/2023,NM,7,The product is terrible,negative,4/16/2023
108759205,6/25/2023,WY,2,The product is terrible,negative,4/2/2023
108759205,7/21/2023,WY,10,The product is terrible,neutral,1/22/2023
108759205,12/9/2023,AZ,3,The product is excellent,suggestion,1/29/2023
108759205,7/5/2023,WY,6,The product is excellent,suggestion,4/23/2023
108759205,12/26/2023,CO,0,The product is excellent,neutral,1/15/2023
108759205,7/22/2023,CO,8,The product is excellent,negative,4/16/2023
108759205,9/26/2023,WY,1,The product is excellent,suggestion,4/23/2023
108759205,12/15/2023,AZ,4,The product is excellent,negative,3/12/2023
108759205,2/24/2023,WY,6,Nothing to suggest,positive,4/30/2023
108759205,4/6/2023,WY,2,The product is excellent,neutral,1/1/2023
108759205,8/8/2023,AZ,1,The product is terrible,positive,3/19/2023
108759205,2/25/2023,AZ,2,The product is excellent,neutral,4/16/2023
108759205,9/22/2023,CO,2,I suggest that you offer the product in green,negative,4/16/2023
108759205,8/6/2023,WY,8,I suggest that you offer the product in green,suggestion,4/9/2023
108759205,7/28/2023,NM,8,Nothing to suggest,negative,4/16/2023
108759205,10/29/2023,WY,8,The product is excellent,positive,2/5/2023
108759205,1/1/2023,WY,5,I suggest that you offer the product in green,suggestion,4/2/2023
108759205,3/30/2023,AZ,9,Nothing to suggest,neutral,2/12/2023
108759205,1/24/2023,WY,0,Nothing to suggest,positive,3/5/2023
108759205,1/24/2023,WY,6,I suggest that you offer the product in green,suggestion,1/15/2023
108759205,2/7/2023,AZ,10,The product is excellent,neutral,4/9/2023
108759205,6/8/2023,WY,4,,,
108759205,7/7/2023,NM,1,,,
108759205,10/6/2023,NM,4,,,
108759205,9/29/2023,WY,10,,,
108759205,5/6/2023,WY,3,,,
108759205,8/13/2023,AZ,9,,,
108759205,5/7/2023,WY,6,,,
108759205,3/5/2023,CO,4,,,
108759205,11/3/2023,NM,7,,,
108759205,11/21/2023,NM,1,,,
108759205,1/6/2023,AZ,10,,,
108759205,4/9/2023,CO,9,,,
108759205,12/23/2023,AZ,1,,,
108759205,8/7/2023,WY,3,,,
108759205,7/3/2023,CO,3,,,
108759205,4/2/2023,WY,0,,,
108759205,2/12/2023,CO,3,,,
108759205,3/16/2023,WY,0,,,
108759205,5/11/2023,WY,8,,,
108759205,1/2/2023,AZ,1,,,
108759205,8/24/2023,CO,1,,,
108759205,3/21/2023,WY,8,,,
108759205,6/10/2023,NM,10,,,
108759205,9/21/2023,AZ,1,,,
108759205,3/10/2023,NM,3,,,
108759205,10/16/2023,CO,9,,,
108759205,10/11/2023,CO,6,,,
108759205,3/5/2023,WY,0,,,
108759205,11/23/2023,NM,5,,,
108759205,7/7/2023,NM,3,,,
108759205,2/14/2023,WY,10,,,
108759205,4/22/2023,AZ,5,,,
108759205,3/31/2023,WY,3,,,
108759205,9/16/2023,NM,3,,,
108759205,4/26/2023,CO,10,,,
108759205,6/26/2023,AZ,8,,,
108759205,6/30/2023,WY,1,,,
108759205,5/6/2023,CO,0,,,
108759205,5/2/2023,CO,5,,,
108759205,2/12/2023,AZ,8,,,
108759205,6/22/2023,NM,1,,,
108759205,9/18/2023,NM,4,,,
108759205,9/20/2023,WY,5,,,
108759205,2/1/2023,CO,2,,,
108759205,1/28/2023,AZ,8,,,
108759205,6/22/2023,WY,8,,,
108759205,12/27/2023,NM,9,,,
108759205,7/19/2023,CO,8,,,
108759205,5/3/2023,CO,10,,,
108759205,9/1/2023,WY,5,,,
108759205,12/9/2023,WY,1,,,
108759205,3/4/2023,CO,4,,,
108759205,9/19/2023,NM,9,,,
108759205,11/20/2023,WY,8,,,
108759205,8/24/2023,CO,3,,,
108759205,12/4/2023,WY,10,,,
108759205,6/24/2023,WY,1,,,
108759205,3/6/2023,AZ,9,,,
108759205,1/22/2023,CO,4,,,
108759205,12/12/2023,CO,3,,,
108759205,10/2/2023,AZ,2,,,
108759205,11/15/2023,WY,10,,,
108759205,6/14/2023,NM,0,,,
108759205,12/24/2023,WY,0,,,
108759205,10/5/2023,NM,9,,,
108759205,3/15/2023,AZ,7,,,
108759205,1/9/2023,AZ,9,,,
108759205,6/7/2023,CO,3,,,
108759205,7/22/2023,WY,3,,,
108759205,8/12/2023,WY,1,,,
108759205,9/25/2023,WY,0,,,
108759205,11/27/2023,AZ,4,,,
108759205,9/29/2023,CO,10,,,
108759205,2/10/2023,CO,2,,,
108759205,3/11/2023,CO,10,,,
108759205,6/11/2023,NM,0,,,
108759205,4/9/2023,CO,7,,,
108759205,5/11/2023,WY,9,,,
108759205,2/28/2023,WY,9,,,
108759205,10/30/2023,CO,10,,,
108759205,3/5/2023,WY,8,,,
108759205,10/26/2023,CO,10,,,
108759205,10/4/2023,AZ,0,,,
108759205,5/17/2023,WY,6,,,
108759205,3/9/2023,NM,1,,,
108759205,12/24/2023,NM,1,,,
108759205,10/5/2023,WY,8,,,
108759205,4/11/2023,CO,4,,,
108759205,10/15/2023,NM,5,,,
108759205,7/10/2023,AZ,9,,,
109698402,3/12/2023,WY,4,The product is excellent,positive,4/16/2023
109698402,12/25/2023,WY,6,The product is excellent,negative,4/9/2023
109698402,9/23/2023,CO,3,Nothing to suggest,positive,4/23/2023
109698402,3/28/2023,WY,10,The product is terrible,suggestion,4/23/2023
109698402,1/31/2023,CO,8,The product is terrible,neutral,2/26/2023
109698402,6/23/2023,NM,2,The product is excellent,positive,2/5/2023
109698402,6/10/2023,WY,3,The product is excellent,positive,1/15/2023
109698402,10/29/2023,CO,7,I suggest that you offer the product in green,negative,2/19/2023
109698402,3/3/2023,WY,10,The product is terrible,suggestion,4/2/2023
109698402,7/18/2023,AZ,10,The product is excellent,positive,4/30/2023
109698402,3/19/2023,NM,7,The product is terrible,suggestion,3/26/2023
109698402,12/7/2023,AZ,5,Nothing to suggest,suggestion,1/22/2023
109698402,4/19/2023,CO,9,I suggest that you offer the product in green,suggestion,2/26/2023
109698402,1/13/2023,AZ,2,I suggest that you offer the product in green,suggestion,4/2/2023
109698402,5/5/2023,AZ,0,Nothing to suggest,suggestion,2/19/2023
109698402,3/8/2023,WY,8,I suggest that you offer the product in green,positive,4/16/2023
109698402,10/15/2023,WY,8,Nothing to suggest,positive,4/2/2023
109698402,2/25/2023,NM,4,The product is terrible,suggestion,2/19/2023
109698402,6/29/2023,NM,9,The product is excellent,negative,1/8/2023
109698402,5/25/2023,AZ,6,Nothing to suggest,neutral,4/30/2023
109698402,4/3/2023,CO,4,Nothing to suggest,negative,4/23/2023
109698402,11/19/2023,CO,9,Nothing to suggest,suggestion,2/19/2023
109698402,12/28/2023,NM,10,The product is excellent,suggestion,4/9/2023
109698402,1/9/2023,CO,8,I suggest that you offer the product in green,positive,1/1/2023
109698402,5/2/2023,WY,8,The product is excellent,negative,4/9/2023
109698402,1/15/2023,NM,2,Nothing to suggest,suggestion,1/1/2023
109698402,1/21/2023,WY,8,Nothing to suggest,suggestion,4/23/2023
109698402,1/29/2023,WY,4,The product is excellent,neutral,1/8/2023
109698402,9/16/2023,WY,2,The product is excellent,neutral,3/5/2023
109698402,6/13/2023,CO,2,The product is terrible,suggestion,4/30/2023
109698402,2/22/2023,NM,9,,,
109698402,11/24/2023,NM,1,,,
109698402,7/26/2023,NM,2,,,
109698402,8/30/2023,WY,0,,,
109698402,6/22/2023,WY,3,,,
109698402,5/30/2023,AZ,6,,,
109698402,1/22/2023,AZ,2,,,
109698402,8/19/2023,CO,4,,,
109698402,6/5/2023,AZ,3,,,
109698402,6/28/2023,NM,6,,,
109698402,2/17/2023,CO,2,,,
109698402,11/9/2023,WY,6,,,
109698402,12/28/2023,WY,8,,,
109698402,9/26/2023,CO,8,,,
109698402,1/24/2023,CO,2,,,
109698402,12/13/2023,AZ,3,,,
109698402,1/16/2023,AZ,2,,,
109698402,10/6/2023,AZ,0,,,
109698402,2/25/2023,WY,0,,,
109698402,10/18/2023,NM,6,,,
109698402,4/20/2023,AZ,6,,,
109698402,10/8/2023,NM,7,,,
109698402,8/19/2023,WY,4,,,
109698402,11/7/2023,NM,6,,,
109698402,1/21/2023,AZ,5,,,
109698402,8/25/2023,NM,9,,,
109698402,9/20/2023,CO,4,,,
109698402,11/2/2023,WY,1,,,
109698402,5/14/2023,NM,9,,,
109698402,11/26/2023,WY,1,,,
109698402,2/22/2023,WY,4,,,
109698402,6/21/2023,NM,2,,,
109698402,9/18/2023,AZ,10,,,
109698402,7/22/2023,NM,6,,,
109698402,12/11/2023,NM,3,,,
109698402,2/28/2023,WY,10,,,
109698402,7/13/2023,CO,4,,,
109698402,8/4/2023,NM,4,,,
109698402,7/30/2023,CO,0,,,
109698402,8/11/2023,NM,1,,,
109698402,6/4/2023,CO,6,,,
109698402,12/21/2023,CO,1,,,
109698402,9/15/2023,WY,10,,,
109698402,8/12/2023,WY,3,,,
109698402,4/22/2023,AZ,2,,,
109698402,7/9/2023,AZ,6,,,
109698402,6/21/2023,WY,7,,,
109698402,10/13/2023,CO,0,,,
109698402,6/21/2023,WY,10,,,
109698402,8/7/2023,AZ,9,,,
109698402,8/5/2023,AZ,8,,,
109698402,7/29/2023,AZ,1,,,
109698402,11/13/2023,AZ,5,,,
109698402,10/11/2023,WY,4,,,
109698402,10/31/2023,WY,10,,,
109698402,5/28/2023,WY,4,,,
109698402,7/16/2023,AZ,8,,,
109698402,11/18/2023,AZ,0,,,
109698402,8/2/2023,CO,5,,,
109698402,1/3/2023,AZ,4,,,
109698402,7/6/2023,NM,6,,,
109698402,7/6/2023,NM,10,,,
109698402,10/8/2023,WY,2,,,
109698402,5/29/2023,NM,5,,,
109698402,6/24/2023,AZ,8,,,
109698402,1/6/2023,AZ,0,,,
109698402,3/1/2023,NM,2,,,
109698402,4/19/2023,WY,0,,,
109698402,3/16/2023,WY,9,,,
109698402,1/29/2023,WY,2,,,
109698402,9/7/2023,CO,7,,,
109698402,12/30/2023,CO,6,,,
109698402,7/15/2023,NM,9,,,
109698402,3/8/2023,AZ,8,,,
109698402,11/13/2023,NM,4,,,
109698402,7/23/2023,AZ,5,,,
109698402,10/19/2023,WY,4,,,
109698402,8/10/2023,WY,8,,,
109698402,12/7/2023,NM,4,,,
109698402,9/27/2023,NM,10,,,
109698402,2/23/2023,NM,6,,,
109698402,6/21/2023,CO,3,,,
109698402,4/6/2023,CO,0,,,
109698402,5/4/2023,AZ,8,,,
109698402,3/18/2023,CO,2,,,
109698402,2/28/2023,WY,0,,,
109698402,11/5/2023,WY,3,,,
109698402,1/29/2023,CO,10,,,
109698402,8/9/2023,CO,1,,,
109698402,3/23/2023,CO,10,,,
109946430,5/23/2023,WY,6,I suggest that you offer the product in green,neutral,2/5/2023
109946430,3/11/2023,CO,4,The product is excellent,positive,3/12/2023
109946430,7/26/2023,NM,6,I suggest that you offer the product in green,suggestion,4/23/2023
109946430,9/15/2023,AZ,2,The product is excellent,positive,4/9/2023
109946430,7/9/2023,CO,3,The product is excellent,suggestion,3/19/2023
109946430,2/4/2023,AZ,1,I suggest that you offer the product in green,negative,2/19/2023
109946430,3/8/2023,NM,2,The product is terrible,suggestion,3/5/2023
109946430,7/19/2023,NM,1,I suggest that you offer the product in green,neutral,4/23/2023
109946430,10/8/2023,AZ,3,The product is excellent,neutral,1/8/2023
109946430,12/28/2023,CO,9,The product is excellent,neutral,1/1/2023
109946430,4/1/2023,AZ,9,The product is terrible,positive,2/5/2023
109946430,7/19/2023,CO,8,The product is terrible,negative,4/30/2023
109946430,12/16/2023,WY,8,The product is excellent,negative,1/1/2023
109946430,6/11/2023,CO,7,I suggest that you offer the product in green,neutral,1/1/2023
109946430,2/18/2023,AZ,1,I suggest that you offer the product in green,suggestion,3/26/2023
109946430,6/4/2023,AZ,3,The product is excellent,negative,1/29/2023
109946430,1/10/2023,AZ,8,I suggest that you offer the product in green,suggestion,1/1/2023
109946430,12/8/2023,AZ,9,Nothing to suggest,neutral,2/19/2023
109946430,9/13/2023,NM,0,The product is excellent,suggestion,4/30/2023
109946430,12/26/2023,CO,7,The product is excellent,suggestion,4/16/2023
109946430,7/19/2023,CO,2,The product is excellent,neutral,1/8/2023
109946430,4/10/2023,NM,0,Nothing to suggest,negative,3/12/2023
109946430,7/4/2023,AZ,9,The product is terrible,suggestion,1/22/2023
109946430,1/16/2023,NM,3,Nothing to suggest,suggestion,1/8/2023
109946430,7/5/2023,NM,4,I suggest that you offer the product in green,positive,4/9/2023
109946430,11/24/2023,WY,8,I suggest that you offer the product in green,positive,1/15/2023
109946430,2/20/2023,CO,4,The product is excellent,neutral,2/26/2023
109946430,7/16/2023,AZ,3,Nothing to suggest,suggestion,1/22/2023
109946430,4/21/2023,NM,6,The product is excellent,neutral,3/26/2023
109946430,8/17/2023,WY,8,The product is excellent,negative,2/12/2023
109946430,1/22/2023,NM,8,,,
109946430,10/2/2023,NM,2,,,
109946430,7/29/2023,WY,10,,,
109946430,10/7/2023,CO,7,,,
109946430,1/26/2023,WY,8,,,
109946430,3/26/2023,CO,6,,,
109946430,10/17/2023,CO,5,,,
109946430,3/26/2023,CO,5,,,
109946430,11/18/2023,CO,4,,,
109946430,6/11/2023,NM,7,,,
109946430,7/14/2023,NM,7,,,
109946430,12/12/2023,CO,1,,,
109946430,8/29/2023,NM,7,,,
109946430,6/26/2023,WY,9,,,
109946430,6/21/2023,CO,7,,,
109946430,12/20/2023,AZ,3,,,
109946430,6/24/2023,CO,0,,,
109946430,8/27/2023,CO,6,,,
109946430,5/21/2023,AZ,7,,,
109946430,10/16/2023,WY,10,,,
109946430,6/9/2023,AZ,7,,,
109946430,6/30/2023,WY,4,,,
109946430,7/4/2023,NM,9,,,
109946430,8/24/2023,CO,3,,,
109946430,10/2/2023,CO,4,,,
109946430,7/30/2023,AZ,9,,,
109946430,11/17/2023,NM,1,,,
109946430,9/30/2023,NM,5,,,
109946430,10/20/2023,AZ,2,,,
109946430,11/19/2023,AZ,5,,,
109946430,5/3/2023,CO,3,,,
109946430,9/30/2023,CO,2,,,
109946430,6/21/2023,AZ,3,,,
109946430,8/21/2023,AZ,0,,,
109946430,7/27/2023,WY,6,,,
109946430,12/8/2023,CO,6,,,
109946430,6/14/2023,AZ,2,,,
109946430,6/7/2023,CO,7,,,
109946430,9/16/2023,CO,3,,,
109946430,9/11/2023,NM,3,,,
109946430,7/5/2023,AZ,5,,,
109946430,3/14/2023,AZ,8,,,
109946430,8/13/2023,AZ,0,,,
109946430,3/9/2023,NM,1,,,
109946430,7/7/2023,WY,5,,,
109946430,7/28/2023,AZ,8,,,
109946430,9/1/2023,NM,7,,,
109946430,4/9/2023,NM,6,,,
109946430,4/30/2023,CO,4,,,
109946430,12/27/2023,CO,3,,,
109946430,11/13/2023,WY,0,,,
109946430,7/14/2023,AZ,8,,,
109946430,1/24/2023,AZ,3,,,
109946430,5/12/2023,AZ,4,,,
109946430,7/22/2023,AZ,9,,,
109946430,1/22/2023,CO,10,,,
109946430,10/20/2023,WY,0,,,
109946430,11/9/2023,CO,1,,,
109946430,2/15/2023,CO,10,,,
109946430,7/2/2023,AZ,3,,,
109946430,11/28/2023,AZ,3,,,
109946430,1/14/2023,NM,9,,,
109946430,10/13/2023,NM,10,,,
109946430,8/21/2023,AZ,10,,,
109946430,1/14/2023,CO,4,,,
109946430,12/15/2023,WY,1,,,
109946430,12/24/2023,CO,7,,,
109946430,4/3/2023,AZ,5,,,
109946430,10/21/2023,WY,4,,,
109946430,12/20/2023,NM,8,,,
109946430,8/25/2023,NM,3,,,
109946430,11/3/2023,AZ,6,,,
109946430,5/2/2023,NM,10,,,
109946430,1/10/2023,CO,0,,,
109946430,10/27/2023,AZ,9,,,
109946430,9/11/2023,NM,0,,,
109946430,8/23/2023,WY,10,,,
109946430,5/22/2023,AZ,8,,,
109946430,6/2/2023,CO,9,,,
109946430,11/8/2023,WY,2,,,
109946430,7/25/2023,AZ,4,,,
109946430,6/30/2023,NM,8,,,
109946430,6/3/2023,WY,5,,,
109946430,8/11/2023,AZ,3,,,
109946430,9/16/2023,WY,0,,,
109946430,9/19/2023,WY,4,,,
109946430,5/23/2023,AZ,8,,,
109946430,3/27/2023,CO,4,,,
109946430,9/8/2023,CO,1,,,
109946430,5/21/2023,CO,7,,,
105807207,11/17/2023,AZ,10,I suggest that you offer the product in green,positive,4/30/2023
105807207,1/17/2023,AZ,10,I suggest that you offer the product in green,positive,1/1/2023
105807207,5/29/2023,NM,5,Nothing to suggest,neutral,3/5/2023
105807207,1/25/2023,CO,6,The product is terrible,suggestion,4/16/2023
105807207,11/13/2023,CO,8,The product is excellent,positive,2/5/2023
105807207,8/14/2023,NM,6,The product is terrible,negative,4/9/2023
105807207,12/28/2023,AZ,5,The product is excellent,negative,4/30/2023
105807207,10/29/2023,WY,4,Nothing to suggest,suggestion,1/8/2023
